SITE_ID,LAT_DD,LONG_DD,SAND,SILT,CLAY,SOILN30,SOILN20,SOILN100,SOILC30,SOILC20,SOILC100,PH,BD,FC,WP,PAWC
4,-27.75,152.45,43,35,22,548,380,1041,7.14,4.92,11.8,6.1,1.51,124,47,77
5,-27.03,152.02,82,11,7,181,126,420,2.09,1.5,4.36,6.3,1.57,111,24,87
6,-26.76,148.82,49,24,27,308,226,953,3.42,2.5,9.66,7.7,1.64,119,49,70
7,-26.58,148.77,34,27,39,341,242,1049,3.54,2.54,9.85,7.7,1.67,126,60,66
8,-26.48,148.68,34,27,39,341,242,1049,3.54,2.54,9.85,7.7,1.67,126,60,66
9,-26.4,146.27,66,20,14,194,140,517,2.18,1.81,5.09,6.8,1.58,115,34,81
10,-25.67,151.75,57,23,19,373,249,895,3.74,2.5,8.62,6.8,1.4,128,43,85
11,-25.08,146.5,72,19,9,275,208,527,6.26,5.3,11.74,5.6,1.28,125,33,92
14,-24.19,150.69,43,35,22,548,380,1041,7.14,4.92,11.8,6.1,1.51,124,47,77
15,-24.16,150.95,43,35,22,548,380,1041,7.14,4.92,11.8,6.1,1.51,124,47,77
16,-23.3,150.51,43,35,22,548,380,1041,7.14,4.92,11.8,6.1,1.51,124,47,77
17,-22.37,146.69,37,25,38,335,240,1038,3.67,2.65,10.15,7.4,1.67,123,58,65
18,-20.98,141.8,36,24,39,334,238,1026,3.51,2.52,9.82,7.7,1.67,124,60,65
21,-18.12,140.88,37,25,38,335,240,1038,3.67,2.65,10.15,7.4,1.67,123,58,65
23,-11.48,27.6,32,20,48,483,343,1120,5.9,4.46,10.51,5.4,1.3,141,71,70
24,-6,145.18,45,28,26,784,589,2262,9.06,6.69,21.75,5.3,1.14,145,56,89
26,-3,-59.7,44,21,36,439,307,1026,6.21,4.52,10.12,4.9,1.34,135,58,77
28,-2.98,-47.52,44,21,36,439,307,1026,6.21,4.52,10.12,4.9,1.34,135,58,77
30,-2.5,-60,41,22,36,579,396,1402,7.64,5.69,11.21,4.9,1.27,136,60,76
33,1.93,-67.05,37,36,28,830,580,2025,11.37,8.1,24.41,5.3,1.12,150,59,91
34,2.98,102.31,49,25,27,476,344,956,5.32,3.95,8.91,5.4,1.45,128,50,79
36,5.25,-55.75,44,26,30,648,446,1561,10.31,6.93,24.39,5.3,1.21,148,58,90
40,5.7,-4.1,47,25,28,260,193,695,3.69,2.91,7.37,5.1,1.4,133,52,81
41,6.15,-0.92,55,24,21,208,156,571,3.42,2.72,6.9,5.1,1.44,127,44,83
42,6.22,-5.03,56,20,24,321,241,859,3.61,2.76,7.8,5.8,1.54,123,46,77
44,6.39,-73.56,49,22,30,311,226,858,4.89,3.65,9.86,5.2,1.4,127,49,77
46,7.58,99.8,50,25,25,320,232,801,4.55,3.55,8.83,5.3,1.4,132,49,83
49,8.62,-71.35,44,28,27,729,550,1760,8.16,6.14,16.65,5.7,1.19,143,56,87
51,8.93,-67.42,55,23,22,248,182,632,3.57,2.73,6.8,5,1.49,126,44,81
