SITE_ID,LAT_DD,LONG_DD,COVR1KM,COVR50KM,COVTYPES
4,-43.17,171.75,7,6,4
5,-41.52,172.75,2,2,2
6,-41.33,174.83,13,0,2
7,-41.18,174.97,13,0,2
8,-41,175,2,0,2
10,-39.83,176.25,5,2,2
14,-38.33,146.33,7,2,3
15,-38.15,176.27,7,2,3
16,-38,176.5,6,2,3
17,-37.42,145.17,2,11,3
19,-36.03,140.5,8,11,3
20,-36,-58,7,11,1
21,-38.333,146.25,7,2,2
22,-35.3897,148.8039,6,2,2
24,-33.07,-71.08,6,6,4
25,-35.207,148.418,11,11,2
30,-26.4,146.27,8,9,3
33,-24.9,28.35,6,7,2
34,-24.67,28.67,6,7,2
35,-24.65,28.7,7,7,2
39,-20.5,28.5,6,7,3
47,-11.48,27.6,10,6,1
50,-6,145.18,6,2,2
54,-3,22,2,2,1
58,-2.83,-59.95,7,2,1
59,-2.83,34.83,11,7,1
62,-1.33,36.83,7,7,3
63,1.9,-67.05,2,2,1
64,1.93,-67.05,2,2,1
65,2.98,102.3,2,7,4
66,2.98,102.31,2,7,4
72,5.38,-4.03,10,0,3
73,5.7,-4.1,10,7,3
74,6.15,-0.92,7,7,3
75,6.22,-5.03,7,11,3
76,6.33,100.93,2,2,3
77,6.39,-73.56,10,7,3
78,7.17,3.87,7,11,3
79,7.42,3.55,10,11,3
80,7.58,99.8,7,7,3
82,8,-66,9,10,2
83,8,-5,11,11,2
84,8,-2,7,7,2
85,8,4,11,11,1
86,8,125,6,7,3
88,8.62,-71.35,10,10,4
89,8.66,-78.12,7,2,2
91,8.93,-67.42,7,7,2
93,9,9,7,10,3
95,10,-67,7,7,3
96,10,5,7,7,1
97,10.4,-85.1,11,7,3
98,10.43,-83.98,2,7,4
100,12,102.83,2,2,6
105,15.33,-15.58,9,9,3
106,15.33,-15.55,9,9,3
110,16.67,103.5,10,11,3
112,17,21.83,12,12,1
114,18,-67.08,7,0,2
117,18.08,-76.65,2,2,2
120,18.3,-65.83,2,7,2
121,18.32,-65.82,2,7,2
122,18.7,108.78,7,11,4
125,19.25,109.78,11,7,2
126,19.46,-98.91,11,10,3
127,19.5,-105.05,6,6,2
129,20.68,110,10,0,3
131,22.02,100.8,11,6,2
132,22.12,107.05,11,10,3
133,22.15,107.97,10,10,3
134,22.27,109.53,10,7,3
135,22.42,109.28,10,10,3
136,22.47,109.78,11,7,3
137,22.63,110.17,10,11,3
138,22.87,110.53,11,7,2
139,22.9,113.83,10,10,3
140,22.93,110,11,11,3
141,22.95,115.65,8,0,3
142,22.97,120.53,10,11,5
143,22.98,114.7,11,11,4
145,23.02,114.5,10,11,3
146,23.05,112.45,9,7,3
147,23.13,112.58,10,10,3
148,23.17,113.3,7,10,3
149,23.18,112.52,7,10,3
150,23.2,100.85,6,6,2
151,23.3,113.82,10,11,3
152,23.37,110.88,10,7,2
153,23.6,109.67,10,11,2
154,23.63,110.05,7,11,4
155,23.7,108.18,11,10,2
156,23.7,120.53,10,10,4
157,23.75,105.25,11,11,3
158,23.83,78.67,7,7,1
159,23.92,112.17,10,7,2
161,23.95,120.95,10,10,4
162,24,83.83,7,7,1
163,24.17,111.53,7,7,1
164,24.18,73.67,7,7,2
166,24.3,106.23,7,11,2
167,24.32,82.98,7,7,2
168,24.35,114.48,11,7,2
169,24.42,111.53,11,7,1
170,24.47,108.67,11,11,2
171,24.47,117.6,10,10,4
172,24.5,105.08,7,11,2
173,24.52,111.53,11,7,4
174,24.57,108.47,10,11,3
175,24.7,83.37,7,7,2
176,24.73,114.53,10,7,2
177,24.73,121.08,11,11,4
178,24.78,106.57,11,11,1
179,24.78,108.88,11,11,2
180,24.78,112.6,11,7,5
181,24.78,117.3,11,7,4
182,24.82,108.27,11,11,3
183,24.83,111.5,11,7,4
184,24.85,110.82,10,11,3
185,24.88,105.82,7,11,2
186,24.97,111.78,7,7,4
187,24.97,114.03,11,7,2
188,24.98,109.98,11,11,2
189,24.98,112.83,7,7,5
190,25,82.58,7,11,2
191,25,82.62,7,11,2
192,25,83,7,11,2
193,25,83.03,7,11,2
194,25,91,10,2,5
195,25,105.8,11,11,1
196,25,110,10,7,4
197,25,111,1,7,4
198,25.05,116.4,10,11,4
199,25.07,109.22,11,7,3
200,25.08,104.88,10,11,3
201,25.15,113.35,11,7,3
202,25.17,79.25,7,7,2
203,25.17,106.1,11,11,1
204,25.18,111.57,10,10,4
205,25.2,83.17,11,11,2
206,25.2,110.2,10,11,3
207,25.22,109.37,11,7,3
208,25.23,117.52,4,7,5
209,25.27,83.33,11,11,2
211,25.28,111.33,11,11,3
213,25.33,83,10,11,2
214,25.37,111.27,4,11,3
216,25.38,108.07,11,11,2
217,25.4,107.87,11,11,1
218,25.4,112.95,10,10,4
219,25.42,106.73,10,11,1
220,25.42,110.35,10,11,3
221,25.43,78.58,13,7,2
222,25.43,105.18,11,11,3
226,25.5,111.5,10,10,3
227,25.53,113.68,11,7,2
228,25.57,100.22,1,6,2
229,25.65,116.93,1,6,5
230,25.67,108.97,10,11,3
232,25.7,78.35,11,7,1
233,25.7,113.38,6,7,3
234,25.7,116.73,10,6,5
235,25.75,106.05,11,11,1
236,25.75,108.88,10,11,3
237,25.78,110.03,7,6,3
238,25.82,107.33,11,11,2
239,25.82,107.53,11,11,2
240,25.83,105.22,11,11,2
241,25.85,116.35,11,10,4
242,25.85,117.27,7,1,3
243,25.87,110.62,7,7,4
245,25.93,108.5,7,11,2
246,25.93,110.1,10,6,3
247,25.97,107.95,7,11,2
248,25.97,111.63,7,7,4
249,25.97,113.22,10,7,3
254,26,113,10,10,2
255,26.02,110.47,10,7,3
256,26.03,106.62,10,11,2
257,26.03,110.63,7,7,3
258,26.07,101.68,10,10,3
259,26.07,119.38,10,7,3
261,26.1,99.93,6,6,2
262,26.13,106.63,11,11,2
263,26.13,113.12,7,7,3
264,26.15,109.77,7,7,3
265,26.2,107.78,11,11,2
267,26.22,109.15,7,7,3
268,26.22,110.2,6,7,3
269,26.22,117.6,10,6,2
270,26.23,105.92,10,11,2
271,26.28,73.08,8,8,2
272,26.32,114.5,10,7,3
274,26.33,118.73,6,6,3
275,26.35,110.32,10,7,3
276,26.37,108.05,11,7,2
277,26.38,108.22,1,7,2
278,26.4,106.27,11,11,1
279,26.4,106.73,11,11,2
280,26.42,85.05,11,10,2
281,26.42,85.1,10,10,2
283,26.45,106.97,10,11,2
284,26.47,101.02,6,6,3
285,26.47,107.28,7,7,2
286,26.5,109.75,11,7,1
287,26.5,113.77,10,7,4
289,26.53,114.47,6,6,3
291,26.57,109.68,13,7,1
292,26.57,118.12,10,1,3
293,26.58,106.7,13,11,2
294,26.58,107.97,13,11,2
295,26.58,110.17,7,7,2
297,26.63,108.58,7,7,3
298,26.63,118.17,13,1,3
299,26.65,101.23,6,6,4
300,26.65,105.77,11,11,2
301,26.65,117.93,6,1,2
302,26.67,108.32,10,11,3
303,26.68,109.2,10,7,2
305,26.7,118.05,6,1,3
306,26.72,110.62,10,10,2
307,26.75,110.58,10,10,2
309,26.78,109.62,10,7,1
310,26.8,117.87,1,1,2
311,26.82,118.23,11,1,3
312,26.83,109.75,10,7,1
314,26.87,104.28,7,7,2
315,26.87,109.52,10,7,1
316,26.87,109.72,10,7,1
317,26.87,109.97,7,7,1
318,26.87,118.33,7,1,3
319,26.88,107.88,10,11,2
320,26.9,109.2,10,7,2
321,26.97,114.33,10,6,3
323,27,83.5,6,11,2
324,27,83.88,7,11,2
325,27,109.97,7,7,2
326,27,118.13,1,1,3
327,27.03,108.12,11,11,3
328,27.05,107.47,7,7,2
329,27.05,108.42,7,11,3
330,27.05,118.33,10,1,3
331,27.07,110.57,11,10,2
332,27.07,117.68,10,1,2
333,27.08,118.97,1,6,3
334,27.1,118.62,6,6,3
335,27.12,104.22,10,10,3
336,27.12,104.7,7,7,2
338,27.15,117.17,1,1,3
339,27.15,117.63,11,1,2
340,27.17,117.33,7,1,3
341,27.25,117.18,11,1,3
343,27.33,113.08,11,11,4
344,27.33,117.48,10,1,3
345,27.38,114.62,10,10,4
346,27.45,106.22,11,11,2
349,27.52,108.23,11,11,3
350,27.53,106.82,10,11,3
351,27.57,117.65,7,1,3
352,27.68,108.83,7,11,3
353,27.68,118.58,7,6,3
355,27.75,108.12,11,11,3
356,27.77,107.48,10,11,2
359,27.82,114.65,10,7,3
360,27.83,116.2,10,10,4
361,27.87,109.8,10,7,2
362,27.87,117.78,1,1,3
363,27.9,102.27,13,11,3
365,27.92,108.68,6,11,3
366,27.95,108.23,7,11,3
368,27.97,106.9,10,11,3
369,27.97,107.72,11,7,2
371,28,77,8,11,2
372,28,86,10,9,3
373,28,108.4,10,11,2
374,28,114.5,10,7,2
375,28.13,106.8,11,7,4
376,28.15,113.62,10,7,4
378,28.17,109.18,11,10,3
379,28.25,107.02,10,7,2
380,28.27,108.13,11,11,2
381,28.32,106.2,11,10,5
382,28.33,103.43,1,1,3
383,28.38,75,9,9,3
385,28.38,111.2,6,7,3
