SITE_ID,LAT_DD,LONG_DD,SAND,SILT,CLAY,SOILN30,SOILN20,SOILN100,SOILC30,SOILC20,SOILC100,PH,BD,FC,WP,PAWC
4,-43.17,171.75,36,33,31,828,607,2194,8.61,6.66,15.87,5.2,1.27,136,56,81
5,-41.52,172.75,48,27,25,394,286,1083,5.16,4.1,9.97,5.2,1.38,131,48,82
6,-41.33,174.83,37,31,32,869,632,2381,8.63,6.69,16.95,5,1.21,142,58,84
7,-41.18,174.97,37,31,32,869,632,2381,8.63,6.69,16.95,5,1.21,142,58,84
8,-41,175,37,31,32,869,632,2381,8.63,6.69,16.95,5,1.21,142,58,84
10,-39.83,176.25,36,34,30,810,593,2151,8.51,6.62,15.71,5.3,1.25,136,55,81
14,-38.33,146.33,43,35,22,548,380,1041,7.14,4.92,11.8,6.1,1.51,124,47,77
15,-38.15,176.27,56,38,6,1055,796,2815,12.29,9.14,32,5.9,0.89,139,43,96
16,-38,176.5,66,27,7,482,352,1336,5.72,4.15,14.49,6.5,1.3,120,31,89
17,-37.42,145.17,39,31,30,752,566,1558,8.16,5.94,14.85,5.3,1.29,134,57,78
19,-36.03,140.5,57,27,15,246,178,690,3.71,2.89,10.17,6.4,1.51,114,38,76
20,-36,-58,50,28,23,458,305,1087,3.68,2.46,7.91,7.8,1.49,124,49,76
21,-38.333,146.25,42,26,32,404,281,1120,4.87,3.54,10.07,5.8,1.42,130,55,75
22,-35.3897,148.8039,58,23,19,292,208,718,2.97,2.12,7.11,6.8,1.49,123,42,81
24,-33.07,-71.08,34,25,41,405,300,1170,4.26,3.16,10.36,6.9,1.58,130,63,66
25,-35.207,148.418,66,20,14,194,140,517,2.18,1.81,5.09,6.8,1.58,115,34,81
30,-26.4,146.27,66,20,14,194,140,517,2.18,1.81,5.09,6.8,1.58,115,34,81
33,-24.9,28.35,16,27,57,414,291,1276,4.53,3.19,12,7.8,1.7,134,76,58
34,-24.67,28.67,73,11,15,243,173,569,2.5,1.76,5.83,6.5,1.47,124,35,89
35,-24.65,28.7,73,11,15,243,173,569,2.5,1.76,5.83,6.5,1.47,124,35,89
39,-20.5,28.5,78,10,12,140,98,342,1.91,1.48,3.97,6.4,1.53,122,29,93
47,-11.48,27.6,32,20,48,483,343,1120,5.9,4.46,10.51,5.4,1.3,141,71,70
50,-6,145.18,45,28,26,784,589,2262,9.06,6.69,21.75,5.3,1.14,145,56,89
54,-3,22,58,14,28,455,308,1158,4.68,3.76,7.59,4.9,1.36,127,48,80
58,-2.83,-59.95,44,21,36,439,307,1026,6.21,4.52,10.12,4.9,1.34,135,58,77
59,-2.83,34.83,35,33,33,486,356,1240,4.63,3.33,10.1,7.3,1.39,132,58,75
62,-1.33,36.83,33,18,49,452,331,971,6.14,4.46,10.92,5.2,1.36,139,70,69
63,1.9,-67.05,37,36,28,830,580,2025,11.37,8.1,24.41,5.3,1.12,150,59,91
64,1.93,-67.05,37,36,28,830,580,2025,11.37,8.1,24.41,5.3,1.12,150,59,91
65,2.98,102.3,49,25,27,476,344,956,5.32,3.95,8.91,5.4,1.45,128,50,79
66,2.98,102.31,49,25,27,476,344,956,5.32,3.95,8.91,5.4,1.45,128,50,79
72,5.38,-4.03,55,13,32,474,317,1154,4.67,3.87,7.37,4.7,1.33,131,53,78
73,5.7,-4.1,47,25,28,260,193,695,3.69,2.91,7.37,5.1,1.4,133,52,81
74,6.15,-0.92,55,24,21,208,156,571,3.42,2.72,6.9,5.1,1.44,127,44,83
75,6.22,-5.03,56,20,24,321,241,859,3.61,2.76,7.8,5.8,1.54,123,46,77
76,6.33,100.93,50,25,25,320,232,801,4.55,3.55,8.83,5.3,1.4,132,49,83
77,6.39,-73.56,49,22,30,311,226,858,4.89,3.65,9.86,5.2,1.4,127,49,77
78,7.17,3.87,63,14,23,292,208,765,3.19,2.31,6.67,6,1.56,121,42,79
79,7.42,3.55,58,17,25,313,223,734,3.41,2.56,7.32,6,1.5,128,48,80
80,7.58,99.8,50,25,25,320,232,801,4.55,3.55,8.83,5.3,1.4,132,49,83
82,8,-66,55,23,22,248,182,632,3.57,2.73,6.8,5,1.49,126,44,81
83,8,-5,51,18,30,333,248,815,4.31,3.31,7.7,5.2,1.46,129,53,76
84,8,-2,61,15,24,294,212,785,3.35,2.36,7.13,6,1.56,121,45,77
85,8,4,61,17,21,286,205,751,3.05,2.32,6.94,5.9,1.57,121,44,77
86,8,125,37,30,34,788,575,1495,7.86,5.79,12.82,5.9,1.25,138,59,79
88,8.62,-71.35,44,28,27,729,550,1760,8.16,6.14,16.65,5.7,1.19,143,56,87
89,8.66,-78.12,47,24,30,457,326,1162,6.46,4.67,12.82,5.6,1.38,134,54,79
91,8.93,-67.42,55,23,22,248,182,632,3.57,2.73,6.8,5,1.49,126,44,81
93,9,9,65,16,19,298,203,631,2.9,2.07,6.38,6.5,1.42,128,43,86
95,10,-67,55,23,22,438,312,719,4.44,3.32,7.38,5.5,1.38,132,47,85
96,10,5,52,26,21,755,540,913,6.03,4.37,7.49,5.4,1.39,128,46,82
97,10.4,-85.1,39,30,31,491,348,1405,5.76,4.08,12.58,6.3,1.45,129,55,73
98,10.43,-83.98,54,23,22,355,256,1028,3.74,2.75,9.39,6.1,1.45,120,43,77
100,12,102.83,50,25,25,320,232,801,4.55,3.55,8.83,5.3,1.4,132,49,83
